Sno,Song,Artist,ArtistID,Cluster
558,Stay With Me,Sam Smith,87,2
559,Too Good at Goodbyes,Sam Smith,87,2
560,Say It First,Sam Smith,87,2
561,One Last Song,Sam Smith,87,2
562,Safe With Me,Sam Smith,87,3
563,Nirvana,Sam Smith,87,2
564,Can I Have It Like That,Pharrell Williams,88,1
565,How Does It Feel?,Pharrell Williams,88,1
566,Raspy Shit,Pharrell Williams,88,1
567,Rude,MAGIC!,89,1
568,No Evil,MAGIC!,89,1
569,Let Your Hair Down,MAGIC!,89,1
570,Have It All,MAGIC!,89,1
571,Lay You Down Easy (feat. Sean Paul),MAGIC!,89,3
572,Gloria,MAGIC!,89,3
573,Coins In a Fountain,Passenger,90,2
574,27,Passenger,90,3
575,Heart's On Fire,Passenger,90,2
576,Coins In a Fountain,Passenger,90,2
577,27,Passenger,90,3
578,Heart's On Fire,Passenger,90,2
579,Pompeii,Bastille,91,1
580,Things We Lost in the Fire,Bastille,91,3
581,Bad Blood,Bastille,91,1
582,Pompeii,Bastille,91,1
583,Things We Lost in the Fire,Bastille,91,3
584,Bad Blood,Bastille,91,1
585,Good Grief,Bastille,91,1
586,The Currents,Bastille,91,3
587,An Act of Kindness,Bastille,91,2
588,Tennis Court,Lorde,92,1
589,400 Lux,Lorde,92,3
590,Royals,Lorde,92,1
591,Tennis Court,Lorde,92,1
592,400 Lux,Lorde,92,3
593,Royals,Lorde,92,1
594,Green Light,Lorde,92,3
595,Sober,Lorde,92,1
596,Homemade Dynamite,Lorde,92,1
597,Tribute,John Newman,93,3
598,Love Me Again,John Newman,93,3
599,Losing Sleep,John Newman,93,1
600,All My Heart,John Newman,93,3
601,Something Special,John Newman,93,3
602,Love Me Again,John Newman,93,3
603,Love Me Again,John Newman,93,3
604,Love Me Again,John Newman,93,3
605,Intro,Disclosure,94,0
606,When a Fire Starts to Burn,Disclosure,94,1
607,Intro,Disclosure,94,0
608,When a Fire Starts To Burn,Disclosure,94,1
609,I Want You Back,Michael Jackson,95,1
610,ABC,Michael Jackson,95,1
611,Wanna Be Startin' Somethin',Michael Jackson,95,1
612,Baby Be Mine,Michael Jackson,95,1
613,The Girl Is Mine (with Paul McCartney),Michael Jackson,95,1
614,She Looks So Perfect,5 Seconds of Summer,96,3
615,Good Girls,5 Seconds of Summer,96,3
616,Money,5 Seconds of Summer,96,3
617,She's Kinda Hot,5 Seconds of Summer,96,1
618,Hey Everybody!,5 Seconds of Summer,96,1
619,She Looks So Perfect,5 Seconds of Summer,96,3
620,Heartache On the Big Screen,5 Seconds of Summer,96,1
621,The Only Reason,5 Seconds of Summer,96,0
622,Walk the Line,Iggy Azalea,97,1
623,Work,Iggy Azalea,97,0
624,Walk the Line,Iggy Azalea,97,1
625,Talk Dirty (feat. 2 Chainz),Jason Derulo,98,1
626,Wiggle (feat. Snoop Dogg),Jason Derulo,98,1
627,Trumpets,Jason Derulo,98,2
