Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
180,Objection (Tango),Shakira,28,0.0147,0.603,0.0246,0.8552771450265757,0.0677,0.705,0.8640000000000001,3
181,Underneath Your Clothes,Shakira,28,0.6859999999999999,0.616,0.10400000000000001,0.853880030372058,0.0415,0.36200000000000004,0.597,2
182,"Whenever, Wherever",Shakira,28,0.23600000000000002,0.7929999999999999,0.20199999999999999,0.8680334092634778,0.0406,0.872,0.8320000000000001,1
183,En Tus Pupilas,Shakira,28,0.442,0.654,0.11199999999999999,0.6374487471526198,0.0326,0.303,0.309,2
184,La Pared,Shakira,28,0.638,0.755,0.102,0.8000303720577071,0.0329,0.615,0.688,2
185,La Tortura (feat. Alejandro Sanz),Shakira,28,0.0297,0.74,0.12300000000000001,0.8526955201214884,0.0427,0.812,0.7829999999999999,1
186,Intro,Tinie Tempah,29,0.000504,0.47600000000000003,0.226,0.8543052391799546,0.131,0.273,0.858,3
187,Simply Unstoppable,Tinie Tempah,29,0.0251,0.503,0.161,0.9200911161731209,0.273,0.841,0.9420000000000001,3
188,Pass Out,Tinie Tempah,29,0.0281,0.693,0.14300000000000002,0.9166590736522401,0.29600000000000004,0.532,0.8909999999999999,1
189,Sexy Beast (Freestyle),Tinie Tempah,29,0.049,0.691,0.13,0.6603492786636296,0.24600000000000002,0.45299999999999996,0.65,1
190,Big Money,Tinie Tempah,29,0.00687,0.524,0.177,0.6782991647684131,0.222,0.439,0.62,3
191,Body Language,Tinie Tempah,29,0.0667,0.5539999999999999,0.16399999999999998,0.6717995444191345,0.519,0.0648,0.897,3
192,56 Bars (Intro),T.I.,30,0.14800000000000002,0.522,0.36700000000000005,0.8984965831435081,0.28,0.415,0.902,0
193,Ready for Whatever,T.I.,30,0.008440000000000001,0.602,0.285,0.8370539104024299,0.0966,0.292,0.71,3
194,The Introduction,T.I.,30,0.00528,0.588,0.16,0.8442217160212606,0.174,0.39299999999999996,0.752,3
195,G Season (feat. Meek Mill),T.I.,30,0.0137,0.662,0.244,0.8665755504935462,0.132,0.446,0.708,1
196,Trap Back Jumpin,T.I.,30,0.00024300000000000002,0.7709999999999999,0.271,0.84039483675019,0.0719,0.11900000000000001,0.657,1
197,Welcome to the World (feat. Kanye West & Kid Cudi),T.I.,30,0.012,0.748,0.19899999999999998,0.9084282460136677,0.0565,0.345,0.8490000000000001,1
198,How Life Changed (feat. Mitchelle'l & Scarface),T.I.,30,0.10300000000000001,0.6659999999999999,0.0703,0.9524981017463935,0.295,0.5660000000000001,0.879,1
199,Get Back Up (feat. Chris Brown),T.I.,30,0.6,0.556,0.0937,0.8254517843583905,0.35,0.648,0.6990000000000001,2
200,Trust,Christina Perri,32,0.877,0.675,0.124,0.6901442672741079,0.0395,0.0367,0.138,2
201,Burning Gold,Christina Perri,32,0.0175,0.565,0.11,0.8379954441913442,0.0269,0.213,0.6729999999999999,3
202,Bluebird,Christina Perri,32,0.433,0.423,0.0701,0.785269552012149,0.0454,0.266,0.46,2
203,Arms,Christina Perri,32,0.11,0.46299999999999997,0.10300000000000001,0.795687167805619,0.0634,0.252,0.755,3
204,Bang Bang Bang,Christina Perri,32,0.00324,0.445,0.262,0.8462870159453305,0.0629,0.589,0.797,3
205,Bluebird,Christina Perri,32,0.433,0.423,0.0701,0.785269552012149,0.0454,0.266,0.46,2
206,Arms,Christina Perri,32,0.11,0.46299999999999997,0.10300000000000001,0.795687167805619,0.0634,0.252,0.755,3
207,Bang Bang Bang,Christina Perri,32,0.00324,0.445,0.262,0.8462870159453305,0.0629,0.589,0.797,3
208,Hello,Adele,33,0.32899999999999996,0.47,0.0854,0.8295520121488233,0.0342,0.289,0.431,3
209,Send My Love (To Your New Lover),Adele,33,0.0356,0.688,0.172,0.761761579347001,0.0875,0.565,0.532,1
210,I Miss You,Adele,33,0.01,0.382,0.433,0.8864996203492789,0.047,0.156,0.5770000000000001,0
211,Ride,Adele,33,0.727,0.525,0.271,0.8536674259681095,0.0354,0.7340000000000001,0.625,2
212,One and Only,Adele,33,0.295,0.528,0.165,0.8545482156416099,0.0287,0.184,0.467,3
213,Rumour Has It,Adele,33,0.617,0.612,0.16699999999999998,0.8634168564920275,0.0445,0.574,0.748,2
214,Mr. Worldwide (Intro) [feat. Vein],Pitbull,34,0.0567,0.779,0.332,0.9164464692482918,0.0866,0.762,0.912,1
215,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,34,0.192,0.6709999999999999,0.298,0.9183295368261202,0.161,0.529,0.9390000000000001,1
